#Area	Non-overlapping_group
ampl440_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl442_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl444_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl446_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl448_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl450_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl452_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl454_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl456_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl458_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl460_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl462_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl464_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl466_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl468_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl470_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl472_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl474_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl476_KMT2A_CDS_27_Cds_16745275_UserDefined_(53190441)_UserDefined_(47591215)	grp0
ampl477_KMT2A_CDS_28_Cds_16742248_UserDefined_(53190442)_UserDefined_(53391490)	grp0
ampl478_KMT2A_CDS_29_Cds_16741474_UserDefined_(53190443)_UserDefined_(53391491)	grp0
ampl511_KMT2A_CDS_30_Cds_16743609_UserDefined_(53190445)_UserDefined_(53391492)	grp0
ampl513_KMT2A_CDS_31_Cds_16745457_UserDefined_(53190446)_UserDefined_(53391493)	grp0
ampl514_KMT2A_CDS_32_+_KMT2A_CDS_33_UserDefined_(53190447)_UserDefined_(53391494)	grp0
